case_name,SCP_Response,Remaining,Completed,Failed
SC.2.25.100475983797508648069888712741659864404, 1 - 0xFF00 (Pending), 6, 1, 0
SC.2.25.104475565435591234627200832124425555935, 2 - 0xFF00 (Pending), 5, 2, 0
SC.2.25.83454294407770467314396444520661667158, 3 - 0xFF00 (Pending), 4, 3, 0
SC.2.25.243453146948994188141008907829803532236, 4 - 0xFF00 (Pending), 3, 4, 0
SC.2.25.325913402436641176757189073851668545905, 5 - 0xFF00 (Pending), 2, 5, 0
SC.2.25.26969174806485375018367251624437106554, 6 - 0xFF00 (Pending), 1, 6, 0
SC.2.25.295593166775877119254350700726379269229, 7 - 0xFF00 (Pending), 0, 7, 0
SC.2.25.100475983797508648069888712741659864404, 1 - 0xFF00 (Pending), 6, 1, 0
SC.2.25.104475565435591234627200832124425555935, 2 - 0xFF00 (Pending), 5, 2, 0
SC.2.25.83454294407770467314396444520661667158, 3 - 0xFF00 (Pending), 4, 3, 0
SC.2.25.243453146948994188141008907829803532236, 4 - 0xFF00 (Pending), 3, 4, 0
SC.2.25.325913402436641176757189073851668545905, 5 - 0xFF00 (Pending), 2, 5, 0
SC.2.25.26969174806485375018367251624437106554, 6 - 0xFF00 (Pending), 1, 6, 0
SC.2.25.295593166775877119254350700726379269229, 7 - 0xFF00 (Pending), 0, 7, 0
